,Text,Positive,Negative,Neutral,Compound,Username,Time Zone,Timestamp,Time,Year,Month,Day,Hour,Minute
35,the good doctor is amazing,0.691,0.0,0.309,0.7717,IszAmber,None,1.51034e+12,11/10/17 12:14,2017,11,10,12,14
36,freddie highmore ily,0.688,0.0,0.313,0.6597,Earth2Mahrs,None,1.51002e+12,11/6/17 19:01,2017,11,6,19,1
37,great episode! #thegooddoctor,0.687,0.0,0.313,0.6588,zhihaocheong,Singapore,1.50987e+12,11/5/17 0:40,2017,11,5,0,40
38,i kinda love the good doctor,0.686,0.0,0.314,0.761,RiaIzaRHO,None,1.50985e+12,11/4/17 19:59,2017,11,4,19,59
39,the good doctor is amazing 10/10 recommended,0.68,0.0,0.32,0.8176,tayrbaee,None,1.51029e+12,11/9/17 22:14,2017,11,9,22,14
40,i love shaun murphy.,0.677,0.0,0.323,0.6369,fandomwhiffler,None,1.50991e+12,11/5/17 11:10,2017,11,5,11,10
41,i love shaun i just love him #thegooddoctor,0.677,0.0,0.323,0.8555,taislanelima,Greenland,1.50994e+12,11/5/17 20:18,2017,11,5,20,18
42,i love freddie highmore,0.677,0.0,0.323,0.6369,samanthaks__,None,1.50995e+12,11/5/17 21:17,2017,11,5,21,17
43,i love freddie highmore,0.677,0.0,0.323,0.6369,memoriesmerlin,Sydney,1.51005e+12,11/7/17 3:36,2017,11,7,3,36
44,@veruca_crews loving #thegooddoctor!,0.677,0.0,0.323,0.636,ctartfan,Eastern Time (US & Canada),1.51041e+12,11/11/17 6:54,2017,11,11,6,54
45,love love love this show a+ @gooddoctorabc #thegooddoctor https://t.co/wemhdsmzvo,0.677,0.0,0.323,0.9274,Tattooed_Athena,None,1.51045e+12,11/11/17 17:48,2017,11,11,17,48
46,@cbs never miss this!  love bull and love the good doctor.,0.676,0.0,0.324,0.9396,cavanRA17,Pacific Time (US & Canada),1.51036e+12,11/10/17 16:32,2017,11,10,16,32
47,@gooddoctorabc brilliant brilliant everything is brilliant about the good doctor _Ÿ˜—âù_,0.671,0.0,0.329,0.936,Debbie23283703,None,1.50992e+12,11/5/17 12:57,2017,11,5,12,57
48,this is pretty good #thegooddoctor,0.67,0.0,0.33,0.7269,daddyfatsaks10,Quito,1.51e+12,11/6/17 13:32,2017,11,6,13,32
49,#thegooddoctor oh dear  oh dear  oh dear!,0.669,0.0,0.331,0.7959,annelee45,London,1.51034e+12,11/10/17 9:49,2017,11,10,9,49
50,@rvawonk i wish the good doctor had been a better fighter.,0.669,0.0,0.331,0.8442,Spitfirehill,Central Time (US & Canada),1.50983e+12,11/4/17 13:04,2017,11,4,13,4
51,@jayharrington3 @grahamverchere love the good doctor.such a good series.âù_,0.667,0.0,0.333,0.875,Portuguese74,None,1.50999e+12,11/6/17 9:23,2017,11,6,9,23
52,i really like the good doctor,0.665,0.0,0.335,0.7146,TVObsesssed,None,1.50984e+12,11/4/17 17:21,2017,11,4,17,21
53,the good doctor is so good wow _Ÿ˜__Ÿ˜_,0.664,0.0,0.336,0.8714,allisaunnn_,None,1.50985e+12,11/4/17 20:18,2017,11,4,20,18
54,loving #thegooddoctor brilliantly acted by #freddiehighmore,0.664,0.0,0.336,0.836,krissyfoz,Amsterdam,1.51006e+12,11/7/17 4:57,2017,11,7,4,57
55,@kriurb the good doctor :),0.663,0.0,0.337,0.7096,pistahh,Budapest,1.51034e+12,11/10/17 11:46,2017,11,10,11,46
56,@leonelagomesc the good doctor :),0.663,0.0,0.337,0.7096,putaquepariucrh,Pacific Time (US & Canada),1.5098e+12,11/4/17 5:58,2017,11,4,5,58
57,loving #thegooddoctor @skylivinghd,0.661,0.0,0.339,0.5994,djw92,None,1.51e+12,11/6/17 13:43,2017,11,6,13,43
58,i am loving #thegooddoctor,0.661,0.0,0.339,0.5994,DanielleKnowler,None,1.51009e+12,11/7/17 12:44,2017,11,7,12,44
59,the good doctor is a good show. i'm blessed,0.66,0.0,0.34,0.8658,bangtansvt,Arizona,1.51038e+12,11/10/17 22:09,2017,11,10,22,9
60,the good doctor is so brilliant,0.66,0.0,0.34,0.8301,theauburnagenda,None,1.51044e+12,11/11/17 13:26,2017,11,11,13,26
61,the good doctor e mm good,0.659,0.0,0.341,0.7003,duarteromanooo,Pacific Time (US & Canada),1.51009e+12,11/7/17 12:55,2017,11,7,12,55
62,is the good doctor.. good?,0.659,0.0,0.341,0.7003,babymama_kc,Eastern Time (US & Canada),1.51028e+12,11/9/17 18:44,2017,11,9,18,44
63,the good doctor is such a good show wow,0.658,0.0,0.342,0.8625,Kaylee00Miss,None,1.50991e+12,11/5/17 10:09,2017,11,5,10,9
64,the good doctor is such a good show wow,0.658,0.0,0.342,0.8625,polarbeliefs,Pacific Time (US & Canada),1.51004e+12,11/6/17 22:35,2017,11,6,22,35
65,ahh i fucking love the good doctor,0.657,0.0,0.343,0.8251,llluminateMndes,Brisbane,1.51005e+12,11/7/17 3:41,2017,11,7,3,41
66,#thegooddoctor is amazing.,0.655,0.0,0.345,0.5859,zacharybarber89,None,1.51e+12,11/6/17 12:04,2017,11,6,12,4
67,brilliant again such brilliant writing #thegooddoctor,0.655,0.0,0.345,0.8225,Tv_reality93,Amsterdam,1.51035e+12,11/10/17 13:56,2017,11,10,13,56
68,@bendreyfuss i love how much you love the good doctor.,0.653,0.0,0.347,0.9062,florabelle444,Atlantic Time (Canada),1.50982e+12,11/4/17 10:54,2017,11,4,10,54
69,the good doctor is interesting,0.651,0.0,0.349,0.6808,charlesnikkon,Beijing,1.50988e+12,11/5/17 2:26,2017,11,5,2,26
70,the good doctor looks interesting,0.651,0.0,0.349,0.6808,JulesssDungca,Beijing,1.51044e+12,11/11/17 15:01,2017,11,11,15,1
71,really enjoying #thegooddoctor,0.649,0.0,0.351,0.5709,tomwattsuk,London,1.50991e+12,11/5/17 11:11,2017,11,5,11,11
73,#thegooddoctor is excellent,0.649,0.0,0.351,0.5719,GothicFrog,London,1.51043e+12,11/11/17 11:32,2017,11,11,11,32
74,i'm really loving the good doctor,0.648,0.0,0.352,0.8104,swifferme,Adelaide,1.51005e+12,11/7/17 2:02,2017,11,7,2,2
75,@karlelitah yes must watch the good doctor hahaha,0.648,0.0,0.352,0.8481,leineeecid,None,1.5104e+12,11/11/17 4:12,2017,11,11,4,12
76,i recommend watching a series called the good doctor..absolutely amazing,0.648,0.0,0.352,0.8481,MostafaS_Ghanem,None,1.50982e+12,11/4/17 11:21,2017,11,4,11,21
77,freddie highmore is so precious i love him,0.648,0.0,0.352,0.8812,stylesinhiding,Tijuana,1.50983e+12,11/4/17 14:34,2017,11,4,14,34
78,the good doctor epi 7 please!,0.647,0.0,0.353,0.6696,asdfghjklovelyn,Baghdad,1.51045e+12,11/11/17 18:35,2017,11,11,18,35
79,wow the good doctor is such a great series  @mnet,0.643,0.0,0.357,0.8957,NicholasKubalo,Athens,1.50991e+12,11/5/17 11:47,2017,11,5,11,47
80,10/10 recommend the good doctor.,0.643,0.0,0.357,0.6597,_Gracifer_,None,1.51001e+12,11/6/17 16:14,2017,11,6,16,14
81,10/10 recommend the good doctor,0.643,0.0,0.357,0.6597,ashleyyveronica,None,1.51003e+12,11/6/17 20:21,2017,11,6,20,21
82,wow congrats #thegooddoctor @gooddoctorabc _Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè» https://t.co/ofkukjvuph,0.643,0.0,0.357,0.802,ElleCabron,Pacific Time (US & Canada),1.51036e+12,11/10/17 15:15,2017,11,10,15,15
84,10/10 recommend the good doctor,0.643,0.0,0.357,0.6597,carolineslick,None,1.51045e+12,11/11/17 17:09,2017,11,11,17,9
85,yo the good doctor is pretty good tbh,0.643,0.0,0.357,0.8402,nakayylah,None,1.51047e+12,11/11/17 21:36,2017,11,11,21,36
86,wow the show the good doctor is amazing!!! so medically correct! love it!,0.642,0.0,0.358,0.9526,maddyp02,Eastern Time (US & Canada),1.51028e+12,11/9/17 18:32,2017,11,9,18,32
87,i love the good doctor so much_Ÿ˜_âù_ï¸è,0.64,0.0,0.36,0.7964,_Sommy23,Harare,1.51e+12,11/6/17 11:17,2017,11,6,11,17
88,@danieldaekim @ew love the good doctor,0.64,0.0,0.36,0.7964,marie7245,None,1.51e+12,11/6/17 13:36,2017,11,6,13,36
89,i love the good doctor so much,0.64,0.0,0.36,0.7964,pitts_cole,None,1.51002e+12,11/6/17 18:36,2017,11,6,18,36
90,@thaliya11 iï¸è love the good doctor,0.64,0.0,0.36,0.7964,TsaiPie,Quito,1.51003e+12,11/6/17 19:27,2017,11,6,19,27
91,i love the good doctor golly gosh,0.64,0.0,0.36,0.7964,tina_m26,Eastern Time (US & Canada),1.51028e+12,11/9/17 19:08,2017,11,9,19,8
92,i love the good doctor so much,0.64,0.0,0.36,0.7964,niallunxcorn,Amsterdam,1.51035e+12,11/10/17 13:07,2017,11,10,13,7
93,â€˜the good doctorâ€™ best show everrrrr,0.64,0.0,0.36,0.7964,Jamaikkka,Pacific Time (US & Canada),1.50979e+12,11/4/17 2:16,2017,11,4,2,16
94,@toxogandhi i love being the good doctor.,0.64,0.0,0.36,0.7964,ericismyidle,Central Time (US & Canada),1.50982e+12,11/4/17 11:15,2017,11,4,11,15
95,the good doctor is a great show_Ÿ˜__Ÿ’›,0.636,0.0,0.364,0.7906,beakindhuman_,Pacific Time (US & Canada),1.50992e+12,11/5/17 13:57,2017,11,5,13,57
96,the good doctor is a great show,0.636,0.0,0.364,0.7906,sarahthebear07,Eastern Time (US & Canada),1.50992e+12,11/5/17 14:32,2017,11,5,14,32
97,the good doctor today was wow!,0.636,0.0,0.364,0.7901,solarcellXIII,West Central Africa,1.51007e+12,11/7/17 9:12,2017,11,7,9,12
98,@mslelob the good doctor is awesome.,0.636,0.0,0.364,0.7906,Mulaifa,Pretoria,1.51009e+12,11/7/17 12:48,2017,11,7,12,48
99,the good doctor is awesome omg,0.636,0.0,0.364,0.7906,PhoriaPearl,Pacific Time (US & Canada),1.51028e+12,11/9/17 17:03,2017,11,9,17,3
100,the good doctor is a great show.,0.636,0.0,0.364,0.7906,IAm_Blessed257,Central Time (US & Canada),1.5103e+12,11/9/17 22:35,2017,11,9,22,35
101,the good doctor is a great show,0.636,0.0,0.364,0.7906,The_Wonkavator,Eastern Time (US & Canada),1.51036e+12,11/10/17 16:03,2017,11,10,16,3
102,@realrclark25 the good doctor is great,0.636,0.0,0.364,0.7906,irishfan0139,None,1.51037e+12,11/10/17 18:50,2017,11,10,18,50
103,the good doctor is a great series,0.636,0.0,0.364,0.7906,876ix__,Eastern Time (US & Canada),1.51038e+12,11/10/17 22:20,2017,11,10,22,20
105,watching the good doctor i hope itâ€™s a good show,0.635,0.0,0.365,0.8271,DaniK_YungPimp,Central Time (US & Canada),1.51035e+12,11/10/17 12:38,2017,11,10,12,38
106,the good doctor c vrmt cool,0.634,0.0,0.366,0.6369,elisabvl,Paris,1.51009e+12,11/7/17 12:31,2017,11,7,12,31
107,the good doctor merece todo amor,0.633,0.0,0.367,0.7845,kccamally,America/Belem,1.5098e+12,11/4/17 6:53,2017,11,4,6,53
108,in love with #thegooddoctor . such a great show !,0.632,0.0,0.368,0.8622,___Empressss,None,1.51007e+12,11/7/17 7:54,2017,11,7,7,54
109,the good doctor is a pretty great show so far,0.63,0.0,0.37,0.8807,DeZhuoreVu,Mountain Time (US & Canada),1.51033e+12,11/10/17 9:08,2017,11,10,9,8
110,loving the good doctor on @skylivinghd,0.63,0.0,0.37,0.7783,LouisePeck1990,None,1.51035e+12,11/10/17 14:09,2017,11,10,14,9
112,the good doctor is acc brilliant,0.626,0.0,0.374,0.7717,RobynBarry10,None,1.50989e+12,11/5/17 5:56,2017,11,5,5,56
113,@yeah_april the good doctor. so exciting!,0.626,0.0,0.374,0.7707,nightnroses,Jakarta,1.50996e+12,11/6/17 0:53,2017,11,6,0,53
114,the good doctor _Ÿ‘¨â€çâ_•ï¸è amazing show_Ÿ_™,0.626,0.0,0.374,0.7717,yazeedabuzaid,None,1.51006e+12,11/7/17 5:28,2017,11,7,5,28
115,the good doctor is actually amazing,0.626,0.0,0.374,0.7717,paigekuhn14,Pacific Time (US & Canada),1.51027e+12,11/9/17 16:10,2017,11,9,16,10
116,the good doctor is a brilliant series.,0.626,0.0,0.374,0.7717,MichaelAzmy,Greenland,1.51046e+12,11/11/17 18:52,2017,11,11,18,52
117,the good doctor is sooooo good!!!,0.625,0.0,0.375,0.7701,OhhFuhlishaa,None,1.50999e+12,11/6/17 11:02,2017,11,6,11,2
118,@antonialthomas your amazing in #thegooddoctor !  love it.,0.624,0.0,0.376,0.8516,TLDibi,None,1.50992e+12,11/5/17 12:53,2017,11,5,12,53
119,the good doctor is actually a really good show lmao,0.624,0.0,0.376,0.8739,Kelyeezy,Central Time (US & Canada),1.51028e+12,11/9/17 17:39,2017,11,9,17,39
120,watching #thegooddoctor  great show!!!,0.624,0.0,0.376,0.7163,glicker82,None,1.51045e+12,11/11/17 17:00,2017,11,11,17,0
121,loving freddie highmore in the good doctor  fantastic acting  highly recommend _Ÿ‘è,0.623,0.0,0.377,0.9216,heymarkharmon,None,1.50991e+12,11/5/17 12:20,2017,11,5,12,20
122,okay so the good doctor is a good show,0.623,0.0,0.377,0.8051,iBrownBagEm,Central Time (US & Canada),1.51046e+12,11/11/17 19:54,2017,11,11,19,54
123,just finished #thegooddoctor i love this show so much. super funny,0.622,0.0,0.378,0.9108,1DNialler143,None,1.50992e+12,11/5/17 13:55,2017,11,5,13,55
124,the good doctor is a fantastic show.,0.619,0.0,0.381,0.7579,ViewsFromVee,Central Time (US & Canada),1.50993e+12,11/5/17 17:30,2017,11,5,17,30
126,the good doctor is so good!!,0.615,0.0,0.385,0.7494,jvcksuon,Eastern Time (US & Canada),1.50984e+12,11/4/17 17:27,2017,11,4,17,27
127,the good doctor!,0.615,0.0,0.385,0.4926,AyeeTuck,Quito,1.50991e+12,11/5/17 10:43,2017,11,5,10,43
128,@crazynellz true. it's a great one. freddie highmore is convincing,0.615,0.0,0.385,0.8625,EbenHaihambo,Greenland,1.51e+12,11/6/17 11:13,2017,11,6,11,13
129,#thegooddoctor is such a good show omg truly amazing and emotional _Ÿ’•,0.615,0.0,0.385,0.8807,justjuliettex,Pacific Time (US & Canada),1.51005e+12,11/7/17 3:03,2017,11,7,3,3
130,norman was the best fit for the good doctor.,0.615,0.0,0.385,0.8625,Chuni__,Hawaii,1.51042e+12,11/11/17 9:24,2017,11,11,9,24
131,the good doctor ... fascinating show.,0.615,0.0,0.385,0.7506,MBaron9,Eastern Time (US & Canada),1.51045e+12,11/11/17 18:17,2017,11,11,18,17
132,okay  the good doctor https://t.co/9wg7tvtqb0,0.615,0.0,0.385,0.5859,arrogantmonster,None,1.50982e+12,11/4/17 11:24,2017,11,4,11,24
133,best new show in fall lineup - abc's the good doctor. great writing  good acting and inspirational.,0.613,0.0,0.387,0.9545,Edithehorwitz1,None,1.50985e+12,11/4/17 18:44,2017,11,4,18,44
135,the good doctor is sooo good!,0.604,0.0,0.396,0.7263,eunamariebernal,Perth,1.51002e+12,11/6/17 17:45,2017,11,6,17,45
136,â€œthe good doctorâ€ù is so good!,0.604,0.0,0.396,0.7263,j_Reyess,Central Time (US & Canada),1.51003e+12,11/6/17 21:56,2017,11,6,21,56
137,the good doctor makes me so happy,0.604,0.0,0.396,0.8244,honeymoobs,Pacific Time (US & Canada),1.51028e+12,11/9/17 18:33,2017,11,9,18,33
138,well done @skyuk great drama with the good doctor,0.603,0.0,0.397,0.8442,mariajlundy,London,1.50984e+12,11/4/17 16:08,2017,11,4,16,8
140,#thegooddoctor been really enjoying the show  so interesting and exciting.,0.603,0.0,0.397,0.8921,reprotv,Pacific Time (US & Canada),1.5103e+12,11/9/17 23:58,2017,11,9,23,58
141,freddie highmore deserves all the awards we love a talented actor,0.6,0.0,0.4,0.8885,velveitae,None,1.50985e+12,11/4/17 20:11,2017,11,4,20,11
142,i love this show!  #thegooddoctor,0.6,0.0,0.4,0.6696,kaayleeeee,Hawaii,1.51005e+12,11/7/17 3:40,2017,11,7,3,40
143,sheâ€™s cute #thegooddoctor,0.6,0.0,0.4,0.4588,Tv_reality93,Amsterdam,1.51035e+12,11/10/17 13:54,2017,11,10,13,54
144,david shore :),0.6,0.0,0.4,0.4588,Anthonywtfxx,None,1.5098e+12,11/4/17 7:12,2017,11,4,7,12
147,the good doctor is a new favorite,0.596,0.0,0.404,0.7096,ebonyyyyj,None,1.50985e+12,11/4/17 20:28,2017,11,4,20,28
149,watch â€œthe good doctorâ€ù. youâ€™re welcome.,0.596,0.0,0.404,0.7096,Mr_GoodAdvice,None,1.51035e+12,11/10/17 13:01,2017,11,10,13,1
150,the good doctor is honestly my new fave show,0.595,0.0,0.405,0.8316,MelissaDaniell3,Central Time (US & Canada),1.50989e+12,11/5/17 6:32,2017,11,5,6,32
151,@cynicalkimchi i see you're a fan of the good doctor as well :),0.595,0.0,0.405,0.8519,Ii3jPrb3dAcqivm,None,1.5098e+12,11/4/17 6:36,2017,11,4,6,36
153,@skylivinghd absolutely brilliant! #thegooddoctor,0.594,0.0,0.406,0.6581,danielmatthews8,London,1.51043e+12,11/11/17 12:21,2017,11,11,12,21
154,@gooddoctorabc thank you freddie! i love you! #thegooddoctor,0.593,0.0,0.407,0.8065,FastFuriousTrav,Central Time (US & Canada),1.51001e+12,11/6/17 16:31,2017,11,6,16,31
159,the good doctor is fucking great âù_ï¸è,0.593,0.0,0.407,0.807,JustACoolHandle,Riyadh,1.51044e+12,11/11/17 13:39,2017,11,11,13,39
160,caught up on #thegooddoctor! itâ€™s pretty amazing.,0.593,0.0,0.407,0.807,tiffani_jenell,None,1.51045e+12,11/11/17 17:20,2017,11,11,17,20
161,the good doctor_Ÿ‘ç_Ÿè_,0.592,0.0,0.408,0.4404,PriscillaIzumi,Pacific Time (US & Canada),1.50984e+12,11/4/17 18:15,2017,11,4,18,15
162,the good doctor,0.592,0.0,0.408,0.4404,aljunbinobo,Pacific Time (US & Canada),1.50985e+12,11/4/17 21:01,2017,11,4,21,1
163,the good doctor,0.592,0.0,0.408,0.4404,aaronreine,Beijing,1.50986e+12,11/4/17 22:44,2017,11,4,22,44
164,the good doctor,0.592,0.0,0.408,0.4404,crownonmahead,None,1.50987e+12,11/5/17 0:06,2017,11,5,0,6
165,the good doctor is soooooooooo good.,0.592,0.0,0.408,0.7003,laxtonrylie4,Arizona,1.50987e+12,11/5/17 0:38,2017,11,5,0,38
166,@shorez i am loving the good doctor... thank you for the wonderful new character... enjoying it as much as i loved house...,0.592,0.0,0.408,0.9652,bearwooky,Sydney,1.50987e+12,11/5/17 1:57,2017,11,5,1,57
167,_Ÿ“_ï¸èthe good doctor,0.592,0.0,0.408,0.4404,kringeeels25,Pacific Time (US & Canada),1.50988e+12,11/5/17 4:10,2017,11,5,4,10
168,the good doctor,0.592,0.0,0.408,0.4404,__Bolu,West Central Africa,1.50991e+12,11/5/17 10:45,2017,11,5,10,45
169,the good doctor is a good show,0.592,0.0,0.408,0.7003,KevinStylez,Pacific Time (US & Canada),1.50991e+12,11/5/17 11:21,2017,11,5,11,21
170,the good doctor,0.592,0.0,0.408,0.4404,buttwhooping,Eastern Time (US & Canada),1.50991e+12,11/5/17 11:24,2017,11,5,11,24
171,the good doctor is so good.,0.592,0.0,0.408,0.7003,thehenman_12,Eastern Time (US & Canada),1.50991e+12,11/5/17 12:18,2017,11,5,12,18
172,the good doctor is so good,0.592,0.0,0.408,0.7003,gomzf_,None,1.50992e+12,11/5/17 15:21,2017,11,5,15,21
173,the good doctor_Ÿ˜ç_Ÿ˜ç,0.592,0.0,0.408,0.4404,__chinomso,Pacific Time (US & Canada),1.50992e+12,11/5/17 15:35,2017,11,5,15,35
174,the good doctor is soooooo good,0.592,0.0,0.408,0.7003,abyssinia21,Pacific Time (US & Canada),1.50993e+12,11/5/17 18:07,2017,11,5,18,7
175,the good doctor,0.592,0.0,0.408,0.4404,aminnabil91,Cairo,1.50994e+12,11/5/17 21:02,2017,11,5,21,2
176,the good doctor is soooo good,0.592,0.0,0.408,0.7003,evanicholee,None,1.50995e+12,11/5/17 22:12,2017,11,5,22,12
177,the good doctor_Ÿ_¥_Ÿ’¯,0.592,0.0,0.408,0.4404,txnizzle_,Irkutsk,1.50996e+12,11/6/17 0:50,2017,11,6,0,50
178,the good doctor..._Ÿ‘Œ_Ÿ‘Œ_Ÿ‘Œ,0.592,0.0,0.408,0.4404,Nomaswati,None,1.50997e+12,11/6/17 5:15,2017,11,6,5,15
179,the good doctor,0.592,0.0,0.408,0.4404,daniielabatista,Lisbon,1.50998e+12,11/6/17 6:24,2017,11,6,6,24
180,the good doctor_Ÿ‘è_Ÿè_,0.592,0.0,0.408,0.4404,michhhelle_s,None,1.50998e+12,11/6/17 6:42,2017,11,6,6,42
181,the good doctor,0.592,0.0,0.408,0.4404,jemmiebee,Beijing,1.50998e+12,11/6/17 7:08,2017,11,6,7,8
182,the good doctor_Ÿ”¥,0.592,0.0,0.408,0.4404,DeeRolaz,Pacific Time (US & Canada),1.50998e+12,11/6/17 7:47,2017,11,6,7,47
183,the good doctorâù_ï¸è,0.592,0.0,0.408,0.4404,mahmouedkamel22,Pacific Time (US & Canada),1.50999e+12,11/6/17 10:07,2017,11,6,10,7
184,the good doctor.,0.592,0.0,0.408,0.4404,The_Real_Ianky,None,1.50999e+12,11/6/17 10:47,2017,11,6,10,47
185,the good doctor,0.592,0.0,0.408,0.4404,omarr0808,Bogota,1.50999e+12,11/6/17 10:53,2017,11,6,10,53
186,the good doctor. such a good show,0.592,0.0,0.408,0.7003,SadiyahRyklief,Greenland,1.51e+12,11/6/17 12:12,2017,11,6,12,12
187,the good doctor,0.592,0.0,0.408,0.4404,duarteromanooo,Pacific Time (US & Canada),1.51e+12,11/6/17 12:59,2017,11,6,12,59
188,the good doctor&gt;,0.592,0.0,0.408,0.4404,ajSicKZ,Atlantic Time (Canada),1.51001e+12,11/6/17 14:58,2017,11,6,14,58
189,...the good doctor_Ÿ™‚.,0.592,0.0,0.408,0.4404,aify_khalu,None,1.51001e+12,11/6/17 15:46,2017,11,6,15,46
